Name,Phone,Address,Category,Date,Invoice No.,Quantity,Unit Price,Amount,Description
David Sarpong,8367072738,DAV ADDRESS,Purchase,25-7-2019,DAV7370488471,732,53.29,39008.28,732 purchases
David Sarpong,8367072738,DAV ADDRESS,Purchase,8-4-2019,DAV3628351044,309,121.57,37565.13,309 purchases
David Sarpong,8367072738,DAV ADDRESS,Purchase,6-9-2019,DAV5186856703,751,37.37,28064.87,751 purchases
Mamittah Opoku Mensah,0188071775,MAM ADDRESS,Purchase,10-3-2019,MAM7503403072,421,9.45,3978.45,421 purchases
Mamittah Opoku Mensah,0188071775,MAM ADDRESS,Purchase,26-10-2019,MAM2065852716,738,57.03,42088.14,738 purchases
Mamittah Opoku Mensah,0188071775,MAM ADDRESS,Purchase,19-9-2019,MAM4124655256,526,67.34,35420.84,526 purchases
Mamittah Opoku Mensah,0188071775,MAM ADDRESS,Purchase,4-11-2019,MAM2270870263,842,54.44,45838.48,842 purchases
Mamittah Opoku Mensah,0188071775,MAM ADDRESS,Purchase,2-10-2019,MAM3625568240,515,38.59,19873.85,515 purchases
Mamittah Opoku Mensah,0188071775,MAM ADDRESS,Purchase,14-5-2019,MAM1463623823,391,188.15,73566.65,391 purchases
Mamittah Opoku Mensah,0188071775,MAM ADDRESS,Purchase,10-7-2019,MAM1168002726,487,39.07,19027.09,487 purchases
Mamittah Opoku Mensah,0188071775,MAM ADDRESS,Purchase,26-5-2019,MAM4585333635,963,141.4,136168.2,963 purchases
Mamittah Opoku Mensah,0188071775,MAM ADDRESS,Purchase,22-2-2019,MAM0335244162,576,98.11,56511.36,576 purchases
Mamittah Opoku Mensah,0188071775,MAM ADDRESS,Purchase,3-7-2019,MAM3326045762,806,195.51,157581.06,806 purchases
Mamittah Opoku Mensah,0188071775,MAM ADDRESS,Purchase,22-11-2019,MAM3275824062,419,99.3,41606.7,419 purchases
Mamittah Opoku Mensah,0188071775,MAM ADDRESS,Purchase,5-11-2019,MAM6375502878,397,337.46,133971.62,397 purchases
Mamittah Opoku Mensah,0188071775,MAM ADDRESS,Purchase,20-5-2019,MAM0100048221,300,206.82,62046.0,300 purchases
Mamittah Opoku Mensah,0188071775,MAM ADDRESS,Purchase,7-5-2019,MAM2345447674,871,298.38,259888.98,871 purchases
Mamittah Opoku Mensah,0188071775,MAM ADDRESS,Purchase,20-9-2019,MAM6813155338,666,88.3,58807.8,666 purchases
Mamittah Opoku Mensah,0188071775,MAM ADDRESS,Purchase,26-9-2019,MAM0481255721,567,55.96,31729.32,567 purchases
Mamittah Opoku Mensah,0188071775,MAM ADDRESS,Purchase,15-8-2019,MAM3264602076,504,16.77,8452.08,504 purchases
Mamittah Opoku Mensah,0188071775,MAM ADDRESS,Purchase,14-9-2019,MAM0201310251,362,402.22,145603.64,362 purchases
Mamittah Opoku Mensah,0188071775,MAM ADDRESS,Purchase,19-9-2019,MAM8252814334,623,151.44,94347.12,623 purchases
Mamittah Opoku Mensah,0188071775,MAM ADDRESS,Purchase,4-9-2019,MAM8625855752,834,68.98,57529.32,834 purchases
Mamittah Opoku Mensah,0188071775,MAM ADDRESS,Purchase,17-6-2019,MAM7187308637,832,119.82,99690.24,832 purchases
Mamittah Opoku Mensah,0188071775,MAM ADDRESS,Purchase,8-1-2019,MAM5206663765,721,19.02,13713.42,721 purchases
Mamittah Opoku Mensah,0188071775,MAM ADDRESS,Purchase,13-10-2019,MAM8307422113,753,210.29,158348.37,753 purchases
Mamittah Opoku Mensah,0188071775,MAM ADDRESS,Purchase,27-2-2019,MAM2423681277,315,16.93,5332.95,315 purchases
Mamittah Opoku Mensah,0188071775,MAM ADDRESS,Purchase,25-6-2019,MAM4171448010,370,164.7,60939.0,370 purchases
Mamittah Opoku Mensah,0188071775,MAM ADDRESS,Purchase,7-9-2019,MAM3758283528,455,257.13,116994.15,455 purchases
Mamittah Opoku Mensah,0188071775,MAM ADDRESS,Purchase,1-7-2019,MAM4882830155,475,27.66,13138.5,475 purchases
Mamittah Opoku Mensah,0188071775,MAM ADDRESS,Purchase,8-4-2019,MAM6271280655,775,24.76,19189.0,775 purchases
Mamittah Opoku Mensah,0188071775,MAM ADDRESS,Purchase,14-7-2019,MAM6743732300,456,256.33,116886.48,456 purchases
Mamittah Opoku Mensah,0188071775,MAM ADDRESS,Purchase,12-4-2019,MAM6633561355,324,32.78,10620.72,324 purchases
Mamittah Opoku Mensah,0188071775,MAM ADDRESS,Purchase,10-11-2019,MAM4683402853,784,155.88,122209.92,784 purchases
Mamittah Opoku Mensah,0188071775,MAM ADDRESS,Purchase,24-3-2019,MAM4226072242,395,82.2,32469.0,395 purchases
Mamittah Opoku Mensah,0188071775,MAM ADDRESS,Purchase,2-2-2019,MAM1287485608,999,226.12,225893.88,999 purchases
Mamittah Opoku Mensah,0188071775,MAM ADDRESS,Purchase,24-3-2019,MAM7875586725,574,1.35,774.9,574 purchases
Mamittah Opoku Mensah,0188071775,MAM ADDRESS,Purchase,20-6-2019,MAM5513622414,587,420.94,247091.78,587 purchases
Mamittah Opoku Mensah,0188071775,MAM ADDRESS,Purchase,12-4-2019,MAM7023317135,377,76.88,28983.76,377 purchases
Mamittah Opoku Mensah,0188071775,MAM ADDRESS,Purchase,22-5-2019,MAM0623821860,936,19.61,18354.96,936 purchases
Mamittah Opoku Mensah,0188071775,MAM ADDRESS,Purchase,8-7-2019,MAM7553335626,461,25.26,11644.86,461 purchases
Mamittah Opoku Mensah,0188071775,MAM ADDRESS,Purchase,23-3-2019,MAM0666187734,360,120.51,43383.6,360 purchases
Mamittah Opoku Mensah,0188071775,MAM ADDRESS,Purchase,24-8-2019,MAM4365483685,698,15.47,10798.06,698 purchases
Mamittah Opoku Mensah,0188071775,MAM ADDRESS,Purchase,23-4-2019,MAM5715148623,452,36.87,16665.24,452 purchases
Mamittah Opoku Mensah,0188071775,MAM ADDRESS,Purchase,2-8-2019,MAM2542244083,605,64.46,38998.3,605 purchases
Mamittah Opoku Mensah,0188071775,MAM ADDRESS,Purchase,19-1-2019,MAM4240567657,663,89.17,59119.71,663 purchases
Mamittah Opoku Mensah,0188071775,MAM ADDRESS,Purchase,19-7-2019,MAM1546470778,329,44.59,14670.11,329 purchases
Mamittah Opoku Mensah,0188071775,MAM ADDRESS,Purchase,3-2-2019,MAM1210213676,632,62.87,39733.84,632 purchases
Mamittah Opoku Mensah,0188071775,MAM ADDRESS,Purchase,15-5-2019,MAM7632326627,864,18.21,15733.44,864 purchases
Mamittah Opoku Mensah,0188071775,MAM ADDRESS,Purchase,14-7-2019,MAM7756772776,361,14.35,5180.35,361 purchases
Mamittah Opoku Mensah,0188071775,MAM ADDRESS,Purchase,7-8-2019,MAM1162531487,349,303.12,105788.88,349 purchases
Mamittah Opoku Mensah,0188071775,MAM ADDRESS,Purchase,8-2-2019,MAM6574028168,625,5.94,3712.5,625 purchases
Mamittah Opoku Mensah,0188071775,MAM ADDRESS,Purchase,7-3-2019,MAM8778286704,922,33.23,30638.06,922 purchases
Mamittah Opoku Mensah,0188071775,MAM ADDRESS,Purchase,15-6-2019,MAM5130278224,591,149.5,88354.5,591 purchases
Mamittah Opoku Mensah,0188071775,MAM ADDRESS,Purchase,13-4-2019,MAM6541024300,922,36.21,33385.62,922 purchases
Mamittah Opoku Mensah,0188071775,MAM ADDRESS,Purchase,13-11-2019,MAM5303124488,614,299.26,183745.64,614 purchases
Mamittah Opoku Mensah,0188071775,MAM ADDRESS,Purchase,14-7-2019,MAM2443671656,364,56.36,20515.04,364 purchases
Mamittah Opoku Mensah,0188071775,MAM ADDRESS,Purchase,16-11-2019,MAM8225553071,966,48.72,47063.52,966 purchases
Mamittah Opoku Mensah,0188071775,MAM ADDRESS,Purchase,25-1-2019,MAM1023315421,676,62.58,42304.08,676 purchases
Mamittah Opoku Mensah,0188071775,MAM ADDRESS,Purchase,9-4-2019,MAM2356557245,316,307.9,97296.4,316 purchases
Mamittah Opoku Mensah,0188071775,MAM ADDRESS,Purchase,1-11-2019,MAM5303166513,335,208.92,69988.2,335 purchases
Mamittah Opoku Mensah,0188071775,MAM ADDRESS,Purchase,7-11-2019,MAM8608561423,634,161.3,102264.2,634 purchases
Mamittah Opoku Mensah,0188071775,MAM ADDRESS,Purchase,19-9-2019,MAM3233260404,576,248.45,143107.2,576 purchases
Mamittah Opoku Mensah,0188071775,MAM ADDRESS,Purchase,7-8-2019,MAM5606878663,628,140.75,88391.0,628 purchases
Mamittah Opoku Mensah,0188071775,MAM ADDRESS,Purchase,1-9-2019,MAM2804753187,313,65.96,20645.48,313 purchases
Mamittah Opoku Mensah,0188071775,MAM ADDRESS,Purchase,25-11-2019,MAM8037472355,658,100.88,66379.04,658 purchases
Mamittah Opoku Mensah,0188071775,MAM ADDRESS,Purchase,29-1-2019,MAM1227644746,813,22.25,18089.25,813 purchases
Mamittah Opoku Mensah,0188071775,MAM ADDRESS,Purchase,26-2-2019,MAM2682157460,423,6.6,2791.8,423 purchases
Mamittah Opoku Mensah,0188071775,MAM ADDRESS,Purchase,7-10-2019,MAM7074673355,472,24.79,11700.88,472 purchases
Mamittah Opoku Mensah,0188071775,MAM ADDRESS,Purchase,16-8-2019,MAM4182007267,659,189.56,124920.04,659 purchases
Mamittah Opoku Mensah,0188071775,MAM ADDRESS,Purchase,8-6-2019,MAM1250506304,572,165.72,94791.84,572 purchases
Mamittah Opoku Mensah,0188071775,MAM ADDRESS,Purchase,9-4-2019,MAM2732662143,744,136.96,101898.24,744 purchases
Leah Opii Birago,7715186250,LEA ADDRESS,Purchase,6-4-2019,LEA0051612654,704,86.5,60896.0,704 purchases
Leah Opii Birago,7715186250,LEA ADDRESS,Purchase,20-4-2019,LEA2713453408,439,71.67,31463.13,439 purchases
Leah Opii Birago,7715186250,LEA ADDRESS,Purchase,1-10-2019,LEA8714857545,875,205.63,179926.25,875 purchases
Leah Opii Birago,7715186250,LEA ADDRESS,Purchase,1-2-2019,LEA8007067212,558,341.85,190752.3,558 purchases
Leah Opii Birago,7715186250,LEA ADDRESS,Purchase,7-1-2019,LEA1181772452,845,91.24,77097.8,845 purchases
Leah Opii Birago,7715186250,LEA ADDRESS,Purchase,4-8-2019,LEA5521202314,342,220.03,75250.26,342 purchases
Leah Opii Birago,7715186250,LEA ADDRESS,Purchase,2-2-2019,LEA0806006000,352,134.3,47273.6,352 purchases
Leah Opii Birago,7715186250,LEA ADDRESS,Purchase,3-2-2019,LEA0523758400,719,327.93,235781.67,719 purchases
Leah Opii Birago,7715186250,LEA ADDRESS,Purchase,14-2-2019,LEA7500836542,528,139.44,73624.32,528 purchases
Leah Opii Birago,7715186250,LEA ADDRESS,Purchase,12-11-2019,LEA4545541361,437,382.29,167060.73,437 purchases
Leah Opii Birago,7715186250,LEA ADDRESS,Purchase,19-10-2019,LEA8251173062,578,319.39,184607.42,578 purchases
Leah Opii Birago,7715186250,LEA ADDRESS,Purchase,21-1-2019,LEA1833386733,492,112.41,55305.72,492 purchases
Leah Opii Birago,7715186250,LEA ADDRESS,Purchase,27-7-2019,LEA0140063546,768,82.66,63482.88,768 purchases
Leah Opii Birago,7715186250,LEA ADDRESS,Purchase,27-7-2019,LEA3465151375,430,185.82,79902.6,430 purchases
Leah Opii Birago,7715186250,LEA ADDRESS,Purchase,5-2-2019,LEA1204536102,490,14.57,7139.3,490 purchases
Leah Opii Birago,7715186250,LEA ADDRESS,Purchase,27-6-2019,LEA5208544058,712,369.35,262977.2,712 purchases
Leah Opii Birago,7715186250,LEA ADDRESS,Purchase,12-4-2019,LEA4835226451,872,27.26,23770.72,872 purchases
Leah Opii Birago,7715186250,LEA ADDRESS,Purchase,21-4-2019,LEA6755871667,839,168.32,141220.48,839 purchases
Leah Opii Birago,7715186250,LEA ADDRESS,Purchase,6-6-2019,LEA1541684176,769,110.85,85243.65,769 purchases
Leah Opii Birago,7715186250,LEA ADDRESS,Purchase,7-8-2019,LEA7432272828,312,58.03,18105.36,312 purchases
Leah Opii Birago,7715186250,LEA ADDRESS,Purchase,20-7-2019,LEA5252182078,400,210.23,84092.0,400 purchases
Leah Opii Birago,7715186250,LEA ADDRESS,Purchase,2-5-2019,LEA3154060750,458,49.34,22597.72,458 purchases
Leah Opii Birago,7715186250,LEA ADDRESS,Purchase,3-7-2019,LEA3206327284,640,135.45,86688.0,640 purchases
Leah Opii Birago,7715186250,LEA ADDRESS,Purchase,26-3-2019,LEA7844731147,839,49.63,41639.57,839 purchases
Leah Opii Birago,7715186250,LEA ADDRESS,Purchase,3-10-2019,LEA2888580830,434,55.17,23943.78,434 purchases
Leah Opii Birago,7715186250,LEA ADDRESS,Purchase,12-8-2019,LEA8871510303,646,183.19,118340.74,646 purchases
Leah Opii Birago,7715186250,LEA ADDRESS,Purchase,25-10-2019,LEA0648882458,770,3.13,2410.1,770 purchases
Leah Opii Birago,7715186250,LEA ADDRESS,Purchase,4-9-2019,LEA2443640440,910,287.14,261297.4,910 purchases
Leah Opii Birago,7715186250,LEA ADDRESS,Purchase,24-6-2019,LEA8168737415,287,138.96,39881.52,287 purchases
Leah Opii Birago,7715186250,LEA ADDRESS,Purchase,27-1-2019,LEA1201264542,467,48.61,22700.87,467 purchases
Leah Opii Birago,7715186250,LEA ADDRESS,Purchase,7-7-2019,LEA6013200114,482,110.03,53034.46,482 purchases
Leah Opii Birago,7715186250,LEA ADDRESS,Purchase,23-11-2019,LEA8140867017,500,64.1,32050.0,500 purchases
Leah Opii Birago,7715186250,LEA ADDRESS,Purchase,22-6-2019,LEA2157705145,522,264.36,137995.92,522 purchases
Leah Opii Birago,7715186250,LEA ADDRESS,Purchase,22-9-2019,LEA0326124447,250,175.49,43872.5,250 purchases
Leah Opii Birago,7715186250,LEA ADDRESS,Purchase,8-1-2019,LEA6752461348,650,40.91,26591.5,650 purchases
Leah Opii Birago,7715186250,LEA ADDRESS,Purchase,25-11-2019,LEA3588584735,866,13.71,11872.86,866 purchases
Leah Opii Birago,7715186250,LEA ADDRESS,Purchase,8-2-2019,LEA6863457321,264,226.56,59811.84,264 purchases
Leah Opii Birago,7715186250,LEA ADDRESS,Purchase,17-3-2019,LEA6726654451,430,76.41,32856.3,430 purchases
Leah Opii Birago,7715186250,LEA ADDRESS,Purchase,9-11-2019,LEA1480416432,747,321.93,240481.71,747 purchases
Leah Opii Birago,7715186250,LEA ADDRESS,Purchase,25-5-2019,LEA5362416858,765,58.04,44400.6,765 purchases
Leah Opii Birago,7715186250,LEA ADDRESS,Purchase,14-8-2019,LEA5233365511,931,37.36,34782.16,931 purchases
Leah Opii Birago,7715186250,LEA ADDRESS,Purchase,28-9-2019,LEA0544260534,269,147.68,39725.92,269 purchases
Leah Opii Birago,7715186250,LEA ADDRESS,Purchase,10-9-2019,LEA4518521626,505,180.09,90945.45,505 purchases
Leah Opii Birago,7715186250,LEA ADDRESS,Purchase,10-5-2019,LEA7303828836,633,246.57,156078.81,633 purchases
Leah Opii Birago,7715186250,LEA ADDRESS,Purchase,24-11-2019,LEA5008034180,941,51.63,48583.83,941 purchases
Leah Opii Birago,7715186250,LEA ADDRESS,Purchase,17-7-2019,LEA8546456070,818,142.34,116434.12,818 purchases
Leah Opii Birago,7715186250,LEA ADDRESS,Purchase,13-3-2019,LEA4405871738,572,259.89,148657.08,572 purchases
Anthony Mensah,2438825543,ANT ADDRESS,Purchase,15-2-2019,ANT6746834683,614,168.76,103618.64,614 purchases
Anthony Mensah,2438825543,ANT ADDRESS,Purchase,10-7-2019,ANT3684040135,882,6.66,5874.12,882 purchases
Anthony Mensah,2438825543,ANT ADDRESS,Purchase,17-2-2019,ANT1313703572,560,231.36,129561.6,560 purchases
Anthony Mensah,2438825543,ANT ADDRESS,Purchase,21-10-2019,ANT1027463418,917,120.73,110709.41,917 purchases
Anthony Mensah,2438825543,ANT ADDRESS,Purchase,14-9-2019,ANT6028182463,574,185.86,106683.64,574 purchases
Anthony Mensah,2438825543,ANT ADDRESS,Purchase,1-10-2019,ANT1867807175,415,46.54,19314.1,415 purchases
Anthony Mensah,2438825543,ANT ADDRESS,Purchase,6-5-2019,ANT6866043105,602,0.32,192.64,602 purchases
Anthony Mensah,2438825543,ANT ADDRESS,Purchase,7-6-2019,ANT4102458724,798,76.28,60871.44,798 purchases
Anthony Mensah,2438825543,ANT ADDRESS,Purchase,8-7-2019,ANT4681800710,736,17.13,12607.68,736 purchases
Anthony Mensah,2438825543,ANT ADDRESS,Purchase,8-6-2019,ANT1082668203,454,74.44,33795.76,454 purchases
Anthony Mensah,2438825543,ANT ADDRESS,Purchase,28-4-2019,ANT0236760370,444,69.75,30969.0,444 purchases
Anthony Mensah,2438825543,ANT ADDRESS,Purchase,18-7-2019,ANT3780121633,722,76.22,55030.84,722 purchases
Anthony Mensah,2438825543,ANT ADDRESS,Purchase,2-9-2019,ANT4368035126,523,48.8,25522.4,523 purchases
Anthony Mensah,2438825543,ANT ADDRESS,Purchase,21-4-2019,ANT3640101085,641,17.72,11358.52,641 purchases
Anthony Mensah,2438825543,ANT ADDRESS,Purchase,2-7-2019,ANT0710722872,334,61.58,20567.72,334 purchases
Anthony Mensah,2438825543,ANT ADDRESS,Purchase,19-8-2019,ANT8316634243,560,31.67,17735.2,560 purchases
